ID_Cliente,Nombre,Apellidos,Email,Movil,Local,F_Nacimiento,Recibir_Publicidad_Email
1001001,Ana,Rodriguez Gutierrez,rg@gmail.com,649123456,es-ES,10/05/1965 0:00:00,TRUE
1001002,Juan,Gomez Pereira,gp@gmail.com,649123457,es-ES,11/05/1975 0:00:00,TRUE
1001003,Santiago,Fernandez Rojas,fr@gmail.com,649123458,es-ES,12/05/1985 0:00:00,FALSE
1001004,Elena,Lopez Molina,lm@gmail.com,649123459,es-ES,13/05/1995 0:00:00,TRUE
1001005,Pedro,Diaz Castro,dc@gmail.com,649123460,es-ES,14/05/2005 0:00:00,TRUE
1001006,Lucia,Martinez Ortiz,mo@gmail.com,649123461,es-ES,15/05/2000 0:00:00,TRUE
1001007,Bartolo,Perez Moreno,pm@gmail.com,649123462,es-ES,16/05/1966 0:00:00,TRUE
1001008,Manolo,Garcia Ferreira,gf@gmail.com,649123463,es-ES,17/05/1986 0:00:00,TRUE
1001009,Nadia,Sanchez Dominguez,sd@gmail.com,649123464,es-ES,18/05/1996 0:00:00,FALSE
1001010,Lucas,Romero Carrizo,rc@gmail.com,649123465,es-ES,19/05/2001 0:00:00,TRUE
1001011,Paco,Sosa Peralta,sp@gmail.com,649123466,es-ES,20/05/1945 0:00:00,TRUE
1001012,Jaime,Torres Castillo,tc@gmail.com,649123467,es-ES,21/05/1955 0:00:00,TRUE
1001013,Miguel,Alvarez Ledesma,al@gmail.com,649123468,es-ES,22/05/1967 0:00:00,TRUE
1001014,Rosa,Ruiz Quiroga,rq@gmail.com,649123469,es-ES,23/05/1968 0:00:00,TRUE
1001015,Rocio,Ramirez Vega,rv@gmail.com,649123470,es-ES,24/05/1946 0:00:00,TRUE
1001016,Concha,Flores Muñoz,fm@gmail.com,649123471,es-ES,25/05/1957 0:00:00,TRUE
1001017,Andrea,Benitez Godoy,bg@gmail.com,649123472,es-ES,26/05/1948 0:00:00,TRUE
1001018,Leonor,Acosta Ojeda,ao@gmail.com,649123473,es-ES,27/05/1949 0:00:00,TRUE
1001019,Juan Carlos,Medina Ponce,mp@gmail.com,649123474,es-ES,28/05/1950 0:00:00,TRUE
1001020,Jose Antonio,Herrera Villalba,hv@gmail.com,649123475,es-ES,29/05/1951 0:00:00,TRUE
1001021,Sonia,Suarez Cardozo,sc@gmail.com,649123476,es-ES,30/05/1952 0:00:00,TRUE
1001022,Borja,Aguirre Navarro,an@gmail.com,649123477,es-ES,31/05/1953 0:00:00,TRUE
1001023,Laura,Gimenez Coronel,gc@gmail.com,649123478,es-ES,01/06/1954 0:00:00,FALSE
